ID	Trait	Population	Sample_size	Nsnp
eqtl-a-ENSG00000077150	ENSG00000077150	European	31470	15735
eqtl-a-ENSG00000253954	ENSG00000253954	European	5164	18825
eqtl-a-ENSG00000164404	ENSG00000164404	European	31050	18031
eqtl-a-ENSG00000162366	ENSG00000162366	European	31684	18772
eqtl-a-ENSG00000126787	ENSG00000126787	European	26196	18527
eqtl-a-ENSG00000180535	ENSG00000180535	European	31684	18946
eqtl-a-ENSG00000196371	ENSG00000196371	European	28917	18793
eqtl-a-ENSG00000116001	ENSG00000116001	European	31470	18647
eqtl-a-ENSG00000257681	ENSG00000257681	European	4868	17851
eqtl-a-ENSG00000189283	ENSG00000189283	European	31684	21050
eqtl-a-ENSG00000263597	ENSG00000263597	European	3831	14237
eqtl-a-ENSG00000153107	ENSG00000153107	European	11496	15932
eqtl-a-ENSG00000203780	ENSG00000203780	European	31684	19325
eqtl-a-ENSG00000204531	ENSG00000204531	European	6421	27514
eqtl-a-ENSG00000243701	ENSG00000243701	European	5502	16969
eqtl-a-ENSG00000103429	ENSG00000103429	European	31684	16133
eqtl-a-ENSG00000174227	ENSG00000174227	European	31684	17278
eqtl-a-ENSG00000080561	ENSG00000080561	European	9188	10125
eqtl-a-ENSG00000186187	ENSG00000186187	European	31684	19563
eqtl-a-ENSG00000112137	ENSG00000112137	European	14263	17271
eqtl-a-ENSG00000115602	ENSG00000115602	European	31470	17644
eqtl-a-ENSG00000160207	ENSG00000160207	European	29388	18884
eqtl-a-ENSG00000170542	ENSG00000170542	European	26569	19970
eqtl-a-ENSG00000267265	ENSG00000267265	European	5502	19928
eqtl-a-ENSG00000242288	ENSG00000242288	European	12181	13674
eqtl-a-ENSG00000226281	ENSG00000226281	European	5502	19093
eqtl-a-ENSG00000123064	ENSG00000123064	European	31684	18025
eqtl-a-ENSG00000143198	ENSG00000143198	European	26609	19284
eqtl-a-ENSG00000251455	ENSG00000251455	European	4169	15862
eqtl-a-ENSG00000261253	ENSG00000261253	European	8269	19315
eqtl-a-ENSG00000126262	ENSG00000126262	European	31470	18872
eqtl-a-ENSG00000092847	ENSG00000092847	European	26609	16386
eqtl-a-ENSG00000204130	ENSG00000204130	European	31684	19073
eqtl-a-ENSG00000198858	ENSG00000198858	European	25690	19562
eqtl-a-ENSG00000111276	ENSG00000111276	European	31470	18827
eqtl-a-ENSG00000198198	ENSG00000198198	European	25476	17188
eqtl-a-ENSG00000113811	ENSG00000113811	European	31644	18589
eqtl-a-ENSG00000178623	ENSG00000178623	European	30935	21470
eqtl-a-ENSG00000124788	ENSG00000124788	European	31470	18483
eqtl-a-ENSG00000103035	ENSG00000103035	European	26609	19396
eqtl-a-ENSG00000146263	ENSG00000146263	European	21121	17075
eqtl-a-ENSG00000088808	ENSG00000088808	European	30935	20240
eqtl-a-ENSG00000260398	ENSG00000260398	European	21746	18357
eqtl-a-ENSG00000250510	ENSG00000250510	European	31684	18582
eqtl-a-ENSG00000123575	ENSG00000123575	European	9188	10125
eqtl-a-ENSG00000111581	ENSG00000111581	European	31684	18780
eqtl-a-ENSG00000041982	ENSG00000041982	European	29392	19453
eqtl-a-ENSG00000101162	ENSG00000101162	European	31430	18146
eqtl-a-ENSG00000105202	ENSG00000105202	European	14263	17704
eqtl-a-ENSG00000168904	ENSG00000168904	European	31684	20873
eqtl-a-ENSG00000068745	ENSG00000068745	European	31684	14494
eqtl-a-ENSG00000178163	ENSG00000178163	European	26609	22126
eqtl-a-ENSG00000044574	ENSG00000044574	European	31684	17591
eqtl-a-ENSG00000155530	ENSG00000155530	European	7444	16659
eqtl-a-ENSG00000203813	ENSG00000203813	European	31684	18074
eqtl-a-ENSG00000090554	ENSG00000090554	European	31470	18923
eqtl-a-ENSG00000269928	ENSG00000269928	European	8269	17254
eqtl-a-ENSG00000185885	ENSG00000185885	European	31684	16035
eqtl-a-ENSG00000138468	ENSG00000138468	European	31470	18350
eqtl-a-ENSG00000185475	ENSG00000185475	European	31684	17797
eqtl-a-ENSG00000117523	ENSG00000117523	European	9188	17577
eqtl-a-ENSG00000088876	ENSG00000088876	European	31684	19524
eqtl-a-ENSG00000115109	ENSG00000115109	European	31470	18704
eqtl-a-ENSG00000250138	ENSG00000250138	European	5502	13017
eqtl-a-ENSG00000064489	ENSG00000064489	European	6598	15735
eqtl-a-ENSG00000108091	ENSG00000108091	European	14263	17992
eqtl-a-ENSG00000168878	ENSG00000168878	European	30836	18481
eqtl-a-ENSG00000108666	ENSG00000108666	European	31684	17941
eqtl-a-ENSG00000172893	ENSG00000172893	European	31430	19466
eqtl-a-ENSG00000185267	ENSG00000185267	European	26609	20919
eqtl-a-ENSG00000263990	ENSG00000263990	European	4994	15781
eqtl-a-ENSG00000178764	ENSG00000178764	European	31644	17587
eqtl-a-ENSG00000162517	ENSG00000162517	European	31684	17675
eqtl-a-ENSG00000183921	ENSG00000183921	European	21015	14359
eqtl-a-ENSG00000096872	ENSG00000096872	European	31684	20347
eqtl-a-ENSG00000228857	ENSG00000228857	European	5502	16644
eqtl-a-ENSG00000089289	ENSG00000089289	European	9188	10125
eqtl-a-ENSG00000153234	ENSG00000153234	European	31644	16694
eqtl-a-ENSG00000107438	ENSG00000107438	European	31684	18583
eqtl-a-ENSG00000090273	ENSG00000090273	European	31470	16365
eqtl-a-ENSG00000171608	ENSG00000171608	European	31684	18259
eqtl-a-ENSG00000146426	ENSG00000146426	European	31470	19399
eqtl-a-ENSG00000268938	ENSG00000268938	European	4994	16998
eqtl-a-ENSG00000213145	ENSG00000213145	European	14263	18940
eqtl-a-ENSG00000141279	ENSG00000141279	European	31470	16651
eqtl-a-ENSG00000267128	ENSG00000267128	European	5502	18085
eqtl-a-ENSG00000236333	ENSG00000236333	European	22518	17932
eqtl-a-ENSG00000144357	ENSG00000144357	European	31470	19627
eqtl-a-ENSG00000070831	ENSG00000070831	European	31684	19059
eqtl-a-ENSG00000100281	ENSG00000100281	European	26196	20002
eqtl-a-ENSG00000223725	ENSG00000223725	European	5164	15971
eqtl-a-ENSG00000158113	ENSG00000158113	European	31470	17197
eqtl-a-ENSG00000151725	ENSG00000151725	European	9188	19273
eqtl-a-ENSG00000112664	ENSG00000112664	European	5258	16777
eqtl-a-ENSG00000202198	ENSG00000202198	European	5502	17842
eqtl-a-ENSG00000232871	ENSG00000232871	European	13006	17745
eqtl-a-ENSG00000211593	ENSG00000211593	European	5502	14275
eqtl-a-ENSG00000102678	ENSG00000102678	European	31684	19854
eqtl-a-ENSG00000267510	ENSG00000267510	European	4656	16377
eqtl-a-ENSG00000114573	ENSG00000114573	European	14263	17191
eqtl-a-ENSG00000230539	ENSG00000230539	European	5502	17465
eqtl-a-ENSG00000167962	ENSG00000167962	European	30721	19852
eqtl-a-ENSG00000188818	ENSG00000188818	European	31470	20571
eqtl-a-ENSG00000267985	ENSG00000267985	European	4656	14095
eqtl-a-ENSG00000079950	ENSG00000079950	European	31470	19292
eqtl-a-ENSG00000197892	ENSG00000197892	European	31684	17819
eqtl-a-ENSG00000106258	ENSG00000106258	European	31176	16249
eqtl-a-ENSG00000157353	ENSG00000157353	European	31684	16534
eqtl-a-ENSG00000013306	ENSG00000013306	European	31470	17101
eqtl-a-ENSG00000214389	ENSG00000214389	European	5502	17384
eqtl-a-ENSG00000115211	ENSG00000115211	European	26395	16387
eqtl-a-ENSG00000163576	ENSG00000163576	European	25103	18575
eqtl-a-ENSG00000198551	ENSG00000198551	European	31470	18162
eqtl-a-ENSG00000211654	ENSG00000211654	European	5502	18646
eqtl-a-ENSG00000226306	ENSG00000226306	European	29218	16677
eqtl-a-ENSG00000160791	ENSG00000160791	European	26395	17741
eqtl-a-ENSG00000125266	ENSG00000125266	European	31684	19372
eqtl-a-ENSG00000121211	ENSG00000121211	European	30836	18388
eqtl-a-ENSG00000116747	ENSG00000116747	European	31684	18123
eqtl-a-ENSG00000172500	ENSG00000172500	European	31684	16118
eqtl-a-ENSG00000067596	ENSG00000067596	European	31684	16482
eqtl-a-ENSG00000253590	ENSG00000253590	European	5502	19433
eqtl-a-ENSG00000227191	ENSG00000227191	European	5502	18843
eqtl-a-ENSG00000237217	ENSG00000237217	European	4994	16503
eqtl-a-ENSG00000131873	ENSG00000131873	European	31684	19499
eqtl-a-ENSG00000170275	ENSG00000170275	European	31684	19021
eqtl-a-ENSG00000233730	ENSG00000233730	European	10736	18626
eqtl-a-ENSG00000175873	ENSG00000175873	European	5502	20924
eqtl-a-ENSG00000064999	ENSG00000064999	European	31684	17814
eqtl-a-ENSG00000225370	ENSG00000225370	European	4677	19561
eqtl-a-ENSG00000162398	ENSG00000162398	European	31470	19498
eqtl-a-ENSG00000162191	ENSG00000162191	European	31684	17869
eqtl-a-ENSG00000152133	ENSG00000152133	European	25690	19989
eqtl-a-ENSG00000130943	ENSG00000130943	European	30257	20703
eqtl-a-ENSG00000124802	ENSG00000124802	European	26395	19724
eqtl-a-ENSG00000236455	ENSG00000236455	European	3831	15973
eqtl-a-ENSG00000166136	ENSG00000166136	European	31684	17244
eqtl-a-ENSG00000236409	ENSG00000236409	European	6421	15865
eqtl-a-ENSG00000151239	ENSG00000151239	European	28489	18806
eqtl-a-ENSG00000173456	ENSG00000173456	European	31684	18334
eqtl-a-ENSG00000073803	ENSG00000073803	European	26609	17398
eqtl-a-ENSG00000010244	ENSG00000010244	European	14263	17235
eqtl-a-ENSG00000188676	ENSG00000188676	European	23999	18455
eqtl-a-ENSG00000165269	ENSG00000165269	European	23770	18010
eqtl-a-ENSG00000116990	ENSG00000116990	European	26395	18003
eqtl-a-ENSG00000076604	ENSG00000076604	European	31684	15139
eqtl-a-ENSG00000171282	ENSG00000171282	European	26196	20231
eqtl-a-ENSG00000259137	ENSG00000259137	European	16098	18377
eqtl-a-ENSG00000183207	ENSG00000183207	European	14263	18704
eqtl-a-ENSG00000143333	ENSG00000143333	European	31470	18058
eqtl-a-ENSG00000184371	ENSG00000184371	European	31684	18026
eqtl-a-ENSG00000229870	ENSG00000229870	European	3831	13987
eqtl-a-ENSG00000256294	ENSG00000256294	European	31470	19448
eqtl-a-ENSG00000111860	ENSG00000111860	European	25690	18324
eqtl-a-ENSG00000167642	ENSG00000167642	European	31684	18064
eqtl-a-ENSG00000162461	ENSG00000162461	European	31684	19425
eqtl-a-ENSG00000110395	ENSG00000110395	European	14263	16905
eqtl-a-ENSG00000131669	ENSG00000131669	European	31684	18494
eqtl-a-ENSG00000229519	ENSG00000229519	European	3831	16168
eqtl-a-ENSG00000186105	ENSG00000186105	European	13629	17488
eqtl-a-ENSG00000115486	ENSG00000115486	European	31684	18611
eqtl-a-ENSG00000170365	ENSG00000170365	European	31684	16222
eqtl-a-ENSG00000197361	ENSG00000197361	European	31132	17421
eqtl-a-ENSG00000079387	ENSG00000079387	European	26410	18740
eqtl-a-ENSG00000165699	ENSG00000165699	European	31470	19543
eqtl-a-ENSG00000112651	ENSG00000112651	European	31684	17790
eqtl-a-ENSG00000203260	ENSG00000203260	European	3831	16553
eqtl-a-ENSG00000108405	ENSG00000108405	European	31684	20658
eqtl-a-ENSG00000182310	ENSG00000182310	European	25476	20875
eqtl-a-ENSG00000234222	ENSG00000234222	European	5502	11199
eqtl-a-ENSG00000168675	ENSG00000168675	European	25690	19491
eqtl-a-ENSG00000214309	ENSG00000214309	European	31684	16071
eqtl-a-ENSG00000267106	ENSG00000267106	European	5502	17795
eqtl-a-ENSG00000248858	ENSG00000248858	European	21332	15634
eqtl-a-ENSG00000136560	ENSG00000136560	European	31260	16898
eqtl-a-ENSG00000264743	ENSG00000264743	European	24848	16943
eqtl-a-ENSG00000138381	ENSG00000138381	European	31470	17773
eqtl-a-ENSG00000080031	ENSG00000080031	European	29940	22591
eqtl-a-ENSG00000246731	ENSG00000246731	European	5502	18268
eqtl-a-ENSG00000230989	ENSG00000230989	European	31684	25666
eqtl-a-ENSG00000143869	ENSG00000143869	European	30765	18639
eqtl-a-ENSG00000143858	ENSG00000143858	European	31176	17220
eqtl-a-ENSG00000148291	ENSG00000148291	European	9188	19155
eqtl-a-ENSG00000184277	ENSG00000184277	European	31684	16583
eqtl-a-ENSG00000235908	ENSG00000235908	European	4169	13462
eqtl-a-ENSG00000238098	ENSG00000238098	European	21670	18906
eqtl-a-ENSG00000079215	ENSG00000079215	European	31684	18181
eqtl-a-ENSG00000096968	ENSG00000096968	European	31684	20075
eqtl-a-ENSG00000187912	ENSG00000187912	European	31684	18624
eqtl-a-ENSG00000072954	ENSG00000072954	European	31684	19701
eqtl-a-ENSG00000230319	ENSG00000230319	European	3831	16768
eqtl-a-ENSG00000243155	ENSG00000243155	European	5502	17354
eqtl-a-ENSG00000127325	ENSG00000127325	European	29726	19158
eqtl-a-ENSG00000091831	ENSG00000091831	European	26609	19600
eqtl-a-ENSG00000258376	ENSG00000258376	European	5502	17981
eqtl-a-ENSG00000197417	ENSG00000197417	European	31470	20253
eqtl-a-ENSG00000133313	ENSG00000133313	European	31684	19410
eqtl-a-ENSG00000196912	ENSG00000196912	European	6421	14407
eqtl-a-ENSG00000185627	ENSG00000185627	European	31684	15613
eqtl-a-ENSG00000163069	ENSG00000163069	European	31470	14725
eqtl-a-ENSG00000263503	ENSG00000263503	European	5502	16546
eqtl-a-ENSG00000064300	ENSG00000064300	European	31684	17630
eqtl-a-ENSG00000172339	ENSG00000172339	European	31644	18003
eqtl-a-ENSG00000136636	ENSG00000136636	European	31470	18401
eqtl-a-ENSG00000139629	ENSG00000139629	European	31684	17406
eqtl-a-ENSG00000256771	ENSG00000256771	European	26609	19332
eqtl-a-ENSG00000257315	ENSG00000257315	European	6421	17098
eqtl-a-ENSG00000259953	ENSG00000259953	European	5502	18068
