ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_SYNAPTIC_VESICLE_LUMEN_ACIDIFICATION	GOBP_SYNAPTIC_VESICLE_LUMEN_ACIDIFICATION	16	-0.692889891383031	-1.9705099950728	0.000505766662735965	0.00743011156506191	0.00562858051950621	1551	tags=56%, list=9%, signal=51%	ATP6AP2/ATP6V1G1/ATP6V1H/ATP6AP1/ATP6V1D/ATP6V1C1/ATP6V1E1/ATP6V1B2/ATP6V1G2
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	60	0.48469322860733	1.77373601975169	0.000504012844412228	0.00743011156506191	0.00562858051950621	4320	tags=50%, list=26%, signal=37%	PRKD2/STAT3/IL17D/CHI3L1/F3/SYK/TLR3/HSPA1A/PYCARD/HYAL2/RELA/LGALS9/LEP/LILRA2/APOA2/TLR7/TLR4/GDF2/ADIPOQ/CD58/FCN1/ZNF580/MYD88/MAVS/TLR5/TLR8/TLR2/NOD1/FFAR2/RIPK1
GOBP_EXOCYTOSIS	GOBP_EXOCYTOSIS	318	-0.286496008355756	-1.48067040875889	0.000505760827448274	0.00743011156506191	0.00562858051950621	1921	tags=22%, list=12%, signal=20%	TSPAN18/STX3/PRSS12/SNX4/BRAF/STXBP5/GRP/IL13RA2/ITSN1/CEACAM1/RIMS2/KIT/LGI3/SCAMP5/TRIM72/LRRK2/HYAL3/STX1A/CADPS2/PFN2/SYNJ1/LIN7B/STAM/RAB15/CRHBP/ANK1/PPFIA2/SYT2/PRKCB/PDPK1/SYT3/ARHGAP44/SNCA/RABEPK/SLC4A8/NSF/TRPV6/STEAP2/DOC2A/LIN7A/SV2C/SYP/CDK5/SYNGR3/VAMP2/EXOC8/SMPD3/CACNB4/WIPF3/CHGA/PPP3CB/CCL3/KCNB1/ERC2/CADPS/SV2A/PREPL/STXBP1/SNAP25/RIMS1/SYT13/CPLX1/RASGRP1/RPH3A/VSNL1/SYT4/SV2B/PCLO/RAB3C/SYT1
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	18	0.696193804557072	1.96500319889091	0.000507292530325945	0.00743622026401205	0.00563320808177216	2522	tags=39%, list=15%, signal=33%	IL4R/BCL6/ANXA1/ASCL2/LOXL3/IL4/HLX
GOBP_MUSCLE_TISSUE_DEVELOPMENT	GOBP_MUSCLE_TISSUE_DEVELOPMENT	387	0.317544413896092	1.50381513726848	0.000510437685685824	0.00746598702272781	0.00565575748722445	2522	tags=22%, list=15%, signal=19%	FOXC1/VAMP5/GJA1/NOTCH2/GJB6/CSRP1/YAP1/MSX1/EYA2/FGFR2/TBX3/EYA1/SIK1/FOS/S1PR1/HEG1/GLI1/CHD7/NUPR1/CSRP2/NOTCH1/TGFBR3/EFEMP2/SOX9/PPP1R13L/MEIS1/SOX8/FGF2/BTG2/KCNJ8/DLL1/LEF1/MAFF/HEY2/TIPARP/GTF3C5/HMG20B/SVIL/HSD17B1/BMP7/MYOM1/ABL1/RHOA/GATA4/DSP/NR4A1/IRX3/NEBL/CHRND/EDN1/PDGFRB/PI16/MYH6/IGF2/TBX1/AKIRIN1/FLNB/MEF2D/SOX6/P2RX2/RYR1/NR2F2/FZD7/VGLL4/GPX1/EPHB1/COL3A1/MYL6/G6PD/BMPR1A/RBPJ/PRMT1/IGFBP5/FOXN2/PDGFRA/ZFPM1/SIX1/VEGFA/MYBPC3/SRPK3/OSR1/FOXL2/PGM5/HLX
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	GOBP_CELLULAR_OXIDANT_DETOXIFICATION	85	0.443726750869819	1.71292406863232	0.000523041752108082	0.00763367472194345	0.00578278703569101	4186	tags=42%, list=26%, signal=32%	APOE/NQO1/NXN/TP53INP1/PRDX6/MT3/MGST1/PRDX4/CAT/HBD/HBZ/BMP7/LTC4S/GPX3/GSTP1/GPX8/SOD3/GPX1/APOA4/GSTM2/HBG1/TXNRD3/PRDX1/GPX5/LPO/GPX7/HP/ALOX5AP/TXNRD2/CCS/HBE1/FABP1/GCH1/CLIC2/APOM/HBB
GOBP_GLAND_MORPHOGENESIS	GOBP_GLAND_MORPHOGENESIS	119	0.41798837449363	1.71000106186006	0.000524988736275729	0.00764543379198067	0.0057916949601494	3341	tags=36%, list=20%, signal=29%	ID4/NOTCH2/FGFR2/TBX3/EPHA2/PAX6/GLI1/MSN/DAG1/NOTCH1/SOX9/TGM2/DDR1/EZR/FGL1/SFRP1/BMP7/LAMA5/HGF/BTBD7/RARG/FGF1/LAMA1/LIPA/CRIP1/PDGFA/SCRIB/IGFBP5/GLI3/HOXD13/CEBPB/RPS6KA1/SULF2/LIMS2/PROX1/TNFAIP3/FRS2/KDM5B/LRP5/NFIB/CAV1/NFKB1/CYP7B1
GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION	GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION	19	0.675837308032873	1.9423002209514	0.000527877055376481	0.00765421730295897	0.00579834879008889	1756	tags=53%, list=11%, signal=47%	HVCN1/GNAI2/SYK/ITGAM/TYROBP/PON3/ITGB2/CRP/ACP5/GSTP1
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS	GOBP_LINOLEIC_ACID_METABOLIC_PROCESS	19	0.675655108959674	1.94177659596662	0.000527877055376481	0.00765421730295897	0.00579834879008889	2007	tags=47%, list=12%, signal=42%	ELOVL1/CYP2J2/ELOVL2/FADS1/ALOX15/ELOVL5/GSTP1/PNPLA8/GSTM2
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS	177	0.366528221138738	1.59228064731013	0.000530949219803786	0.00768213568783059	0.00581949798493589	5017	tags=45%, list=31%, signal=31%	ZFP36L1/NOTCH2/FOS/IL4R/BTK/PCK1/LGALS1/ACTL6A/BCL6/ANXA1/LEF1/SYK/TRIB1/INPP5D/HLA-G/CBFB/HLA-DRB1/AXL/RHOA/LGALS9/TYROBP/TREM2/HLA-DRA/PNP/EVI2B/BRD7/IL15RA/PHF10/VNN1/BAD/CD27/HCLS1/AP3B1/SOX13/GLI3/IL12B/IL4/SMARCC1/HLX/SMARCE1/ADA/TOX/ZBTB16/ARID1B/ZMIZ1/IL12RB1/IL20/FES/CCR1/GATA3/SMARCD3/ZBTB46/CR1/MALT1/POU4F1/SMARCD2/ITPKB/LILRB2/SASH3/TGFB1/TMEM64/KAT5/ACIN1/RIPK1/IL15/NCKAP1L/LIF/SPI1/HSF1/NFKBID/MDK/IL4I1/CASP8/IL2RG/IL34/XRCC6/LGALS3/SHB/SMARCC2
