id	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRSS2	-0.745163389631675	6.83511708819731	-5.73596827947326	3.0257637825016e-08	7.99924099338447e-07	8.53032216635666
ZFP91	0.749055365979683	7.71328872363229	5.73216705725243	3.08572353034757e-08	8.14462067406233e-07	8.51153027216934
SIGLEC15	0.720710660841806	7.25152297423767	5.72644104193674	3.17824060151098e-08	8.37532824748658e-07	8.4832404269541
RNF175	-0.700006230374941	8.63722874932735	-5.72458359631865	3.20882961545842e-08	8.44236376034975e-07	8.47406809783167
IL17RB	0.769021331430575	7.41261345859641	5.72378057539047	3.22214284550765e-08	8.46380502896087e-07	8.47010335463463
SLC25A18	0.87310831913063	9.17329835304036	5.72116617132311	3.26586154898017e-08	8.55123588647507e-07	8.45719817334088
IL13RA1	0.76796207502402	8.00808205165022	5.72067213758137	3.27418771394646e-08	8.55936376703292e-07	8.45476002610672
TBC1D16	0.805202937073212	7.06752864738565	5.71774063782971	3.3240215673625e-08	8.6758021513756e-07	8.44029577142062
NDUFB8	-0.62627590550057	10.6115240169372	-5.71733198254133	3.33102702271567e-08	8.68026453566496e-07	8.43827987327371
CHMP2A	-0.735293838004029	8.80660396986099	-5.71370938752778	3.39376160411407e-08	8.82970578619582e-07	8.42041430468971
ACBD6	-0.645784465623608	7.86704553253812	-5.7059978475044	3.53117205866682e-08	9.17265312418508e-07	8.3824114545129
EBF1	0.986739473730365	5.61404013452466	5.69606528082335	3.71618284677301e-08	9.60753890866186e-07	8.33351985264003
SNX31	1.18752776696114	4.67716113377579	5.69589608258458	3.71941500615734e-08	9.60753890866186e-07	8.33268755141579
BEX4	-0.686821446870832	9.94985856386996	-5.6930964445064	3.77329595247053e-08	9.72454307499126e-07	8.31891856942847
VASP	0.863975288349138	6.35284413211211	5.69175523974727	3.79937753080774e-08	9.76106537734634e-07	8.31232414707714
TPD52	-0.894578835788099	5.55776514655157	-5.68868058838354	3.85983420187263e-08	9.90086735569551e-07	8.29721112387465
DMAP1	-0.988940804769874	7.00966439609417	-5.68730813396021	3.88712283021262e-08	9.95528598593985e-07	8.29046698920337
NOL9	-0.672926153075633	5.945674544713	-5.68693377969537	3.89459877445707e-08	9.95887184276533e-07	8.28862765301905
C19ORF18	0.720962076009517	5.48454284358744	5.68374177270597	3.95891647688304e-08	1.00918506955816e-06	8.27294786840826
MZT2B	0.740293127204319	10.215899622009	5.68286683438351	3.97672640995915e-08	1.01180328269395e-06	8.26865114650171
TAGLN3	-0.60518549491324	9.9633101725157	-5.68263134617322	3.9815332642157e-08	1.01180328269395e-06	8.26749477556439
HN1	-1.0128489549592	7.24622677847982	-5.68182183637516	3.99810050544197e-08	1.01444064063002e-06	8.26351993081838
BGN	0.718167207333819	7.21512801015247	5.67891610733663	4.05812450076611e-08	1.02807911425127e-06	8.24925575454649
NVL	-1.05940443955846	5.96050157702242	-5.67757737994167	4.08607382272413e-08	1.0335622843869e-06	8.24268580509893
HIST1H2AC	0.700292821422347	7.14275621571749	5.67627444659082	4.11345620386966e-08	1.0388853719203e-06	8.23629263451195
FAM84B	0.743762477003223	6.06692647015247	5.67263951761642	4.19079781297741e-08	1.05643632507373e-06	8.21846276017725
CAMKK2	-0.865918987723107	6.7515408463139	-5.67240484620361	4.1958394705814e-08	1.05643632507373e-06	8.21731195606429
PPIH	-0.733269170408644	6.96677683525561	-5.67093096356689	4.22763981540058e-08	1.0628104940833e-06	8.21008500642841
PHYHD1	0.829046960081278	6.14974660781614	5.66955704296712	4.2574951257103e-08	1.06867691585785e-06	8.20334947433093
ACSL6	-0.659920618301725	7.5542880425426	-5.66702582958049	4.31303802962768e-08	1.08096339974965e-06	8.19094361824615
SLC25A4	-0.679409860845835	8.88711347403587	-5.66618432075405	4.33165955313027e-08	1.08397300359326e-06	8.18682017876531
MDH1	-0.946700954320422	11.1115096123901	-5.66468751040194	4.36497613583695e-08	1.09064518052597e-06	8.17948686230528
ACBD5	0.758343140134649	8.2316754835426	5.65606545027728	4.56181376200948e-08	1.13636306038142e-06	8.13727318542085
