ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	226	-0.315159818057	-1.60996618101384	0.000275663937280235	0.00797745709733858	0.00647442523357827	2644	tags=29%, list=16%, signal=24%	PLEKHA4/WNT11/EGFR/RNF220/TRPM4/NOTUM/NPHP4/DAB2IP/TGFB1/CHD8/JUP/GLI3/SHISA6/NOTCH1/FOXO1/LMBR1L/COL1A1/NOG/APOE/NKD1/TMEM198/CSNK1G2/ILK/SCEL/DAAM2/SOX17/KANK1/ZBED3/SHH/WWTR1/BTRC/TBX18/LGR4/ZNRF3/STK3/INVS/AXIN1/G3BP1/SRC/CSNK1E/FZD9/DKK4/HDAC1/FRZB/SOX7/USP34/YAP1/FGF10/LGR6/SMURF2/TLE3/ZNF703/TCF7L2/IGFBP4/CDH3/FUZ/LRP4/FAM53B/KREMEN1/TMEM88/TBL1X/SOX9/GPC3/SOX13/RBMS3
GOBP_REGULATION_OF_T_CELL_ACTIVATION	GOBP_REGULATION_OF_T_CELL_ACTIVATION	352	-0.275071991497965	-1.47071369796679	0.000274091568599669	0.00797745709733858	0.00647442523357827	4535	tags=38%, list=28%, signal=28%	SMARCD1/TOX/PPP3CA/ARID2/IL21/BTN2A2/EBI3/VSIG4/SART1/VAV1/ZBTB16/GATA3/BID/MAPK8IP1/CCDC88B/HLA-DOA/LRRC32/NFKBID/LILRB2/SOX4/GLI2/IDO1/FOXN1/LEP/CD160/EFNB2/HHLA2/CD81/IL4I1/AP3B1/RASAL3/PDPK1/MDK/BATF/SPN/FOXP3/TYK2/IL7/SASH3/SMARCD3/PSG9/CD209/LOXL3/IGFBP2/SIT1/CD24/SOX12/SPINK5/IFNG/GPAM/HLA-DRA/ZBTB7B/CD86/IL4R/AKT1/FANCD2/ERBB2/LILRB1/IL6ST/HLA-DQA1/TBX21/IL2RA/SIRPB1/CCR7/LAT/IL1RL2/LGALS3/HLA-DOB/IRF4/TGFBR2/SMARCD2/GLI3/HLA-DRB1/LAG3/PTPN6/RAC2/ADORA2A/IL4/PLA2G5/NCKAP1L/CD55/FOXJ1/NCK2/IGF2/PCK1/CEBPB/HLA-DQB1/SHH/IL12RB1/SOS1/BMP4/SOCS1/SCRIB/LYN/CD27/ASCL2/SCGB1A1/PLA2G2E/BCL6/JUNB/SLAMF1/CTLA4/SRC/TMIGD2/TNFRSF9/BCL10/LEF1/HLA-DRB4/HLA-A/IL6/CD28/BRAF/CARD11/CD74/IFNA2/DOCK8/TNFRSF1B/VCAM1/LILRB4/IL27/LGALS9/IL1A/TCF7/LCK/HLA-E/CD2/SMARCC2/VNN1/SDC4/AGER/SOX13/TNFRSF13C/IL12B/CCL19
GOCC_TRANSPORT_VESICLE	GOCC_TRANSPORT_VESICLE	390	0.285256827708527	1.48301646761729	0.000278565050085632	0.00800904407950065	0.00650006091570947	3327	tags=28%, list=20%, signal=23%	ATP6V1A/SLC30A5/ICA1/SLC2A13/NCALD/PCSK1/RAB1A/SEC23A/ATP8A1/CLCN4/ATP6V1E1/AP1S1/KDELR3/RAB3C/ATP6AP1/SYT1/ATP6V1G2/SVOP/IGF1/COPS5/VAMP7/ATP6V1B2/ATP2B1/SNCA/RAB11A/STX7/PDCD6/AMPH/SV2C/STX3/SORT1/SYP/DNM1L/ATP6V0C/YKT6/SLC32A1/MAL2/M6PR/STEAP2/RPH3A/CLCN5/USO1/UNC13C/ATP6V1F/SEMA4C/NPTX1/VTI1B/DMXL2/RAB7A/NRSN1/SYT11/SLC17A6/HAP1/MCTP2/CAV2/RAB27A/PAM/CLTA/GABRA2/COPS4/STON1/SYT7/SCAMP1/STX6/CLTB/SYT13/ATP6V1D/BTBD8/SLC17A8/SEC13/PICALM/RAB3B/SYT4/ARCN1/PPFIA2/SPRED2/SNAP91/SNAPIN/COPE/HLA-G/SLC35D3/TMEM30A/AP1AR/ATP6V0A1/TOR1A/AP1S2/AP1G1/CLCN3/STXBP5/SLC4A8/SEC24B/GRIA1/DPYSL3/DOC2A/AP1M1/RAB40B/VMA21/PPT1/GOPC/RAB14/PEF1/COPG2/AFTPH/STX19/ATP6V1H/RABAC1/STX1A/SEC22B/PENK/SYN1
GOBP_POSITIVE_T_CELL_SELECTION	GOBP_POSITIVE_T_CELL_SELECTION	39	-0.535283193253629	-1.97977151020797	0.000285134540148945	0.008128154401948	0.00659672967466651	3916	tags=51%, list=24%, signal=39%	FOXN1/BATF/SPN/FOXP3/LOXL3/IL6R/THEMIS/TBX21/IRF4/STAT3/SHH/IL12RB1/IL6/BRAF/CD74/SLAMF6/DOCK2/ZFPM1/CD3D/IL12B
GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	55	-0.462496213765706	-1.84809636909806	0.000285078567694702	0.008128154401948	0.00659672967466651	2824	tags=35%, list=17%, signal=29%	TNR/ITGA11/ITGA8/ITGA6/ITGB1/ITGB5/LAMB2/ITGA2B/LYN/CTLA4/MMRN1/ITGB6/CD28/ITGB2/ITGA7/ITGB7/ITGA9/ITGBL1/ITGAX
GOMF_DAMAGED_DNA_BINDING	GOMF_DAMAGED_DNA_BINDING	67	0.448929441659436	1.80161047999215	0.000289521659465766	0.00821824405407274	0.00666984554478448	4171	tags=42%, list=25%, signal=31%	RPA3/MSH2/POLK/POLQ/RAD1/DCLRE1A/KDM4D/CUL4B/NEIL2/DCLRE1B/PCNA/ERCC3/TP63/RAD23B/FEN1/TDG/XRCC6/NBN/NTHL1/REV1/POLB/MPG/APEX1/RPA2/POLI/DDB2/DDB1/BRCA1
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	39	-0.534943516099509	-1.9785151973611	0.00029367390139404	0.00830093445332773	0.00673695625449796	3197	tags=38%, list=20%, signal=31%	SPRY2/PIK3CD/PTP4A3/DAB2IP/SMOC2/DLL1/VEGFA/MYO1C/NUS1/PDGFRA/HSPB1/VEGFB/KDR/IL12B/FOXC1
GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	102	-0.392828393850752	-1.79148186493373	0.000295681145417398	0.00832255459307206	0.00675450294595693	3609	tags=38%, list=22%, signal=30%	SPN/MYD88/TMEM106A/SASH3/LY96/ABCC8/IFNG/TNFRSF8/TWIST1/CD86/THBS1/CD14/TLR4/TGFB1/AZU1/IL17F/ZBTB20/ARHGEF2/STAT3/PF4/TLR2/CD84/PTAFR/TICAM1/BCL10/CARD9/MAVS/IL6/NFATC4/TLR9/LGALS9/IL1A/LILRA2/HLA-E/CD2/HSPB1/AGER/IL12B/CCL19
GOBP_ROOF_OF_MOUTH_DEVELOPMENT	GOBP_ROOF_OF_MOUTH_DEVELOPMENT	87	-0.404854259981686	-1.78144983281407	0.000299905161780504	0.00840612836304433	0.00682233059060253	3212	tags=40%, list=20%, signal=33%	LOXL3/IFT172/WNT9B/CHD7/TWIST1/TGFBR3/WNT11/CSRNP1/TGFBR2/TGFBR1/GLI3/WNT8A/TBX2/TGFB3/CLDN5/SHH/SOS1/FOXE1/SKI/SGPL1/MSX1/SNAI1/LEF1/TBX1/ITGB6/TBX3/ANP32B/TGFB2/COL11A2/PDGFRA/ASPH/TCF21/OSR1/ALX4/BNC2
GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	GOBP_CD4_POSITIVE_OR_CD8_POSITIVE_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	25	-0.61232400878845	-2.07380511722109	0.000304904561791437	0.00851064858100349	0.00690715816514374	3637	tags=60%, list=22%, signal=47%	BATF/SPN/FOXP3/LOXL3/IL6R/TBX21/IRF4/STAT3/SHH/IL12RB1/IL6/BRAF/SLAMF6/ZFPM1/IL12B
